No. ,Tweet ID,User ID,Timestamp,Username,Tweet_text,Language,Retweet_count,Like_count,Reply_count,Quote_count,URLs,Source
14,43667,145,31-07-2024 02:06,@robertmiller,RT Diese Turnerinnen sind auf einem anderen Niveau! Was denken Sie? #Turnen #Olympiade2024,de,32,375,2,0,,Twitter Web Client
15,33828,131,06-08-2024 01:35,@dianajacobs,RT Just chilling...,en,229,860,7,5,https://www.stout.biz/,Twitter Web App
16,65543,144,30-07-2024 16:24,@lauren74,Unbelievable performence as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,761,8,3,,Twitter Web App
17,5874,119,03-08-2024 19:50,@charlesramirez,Incredible to see athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,0,0,15,10,https://smith.net/,Twitter Web App
18,67234,188,11-08-2024 21:38,@ycummings,RT Captivating moments as archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024 ,en,2,933,6,3,,Twitter for iPhone
19,20060,132,08-08-2024 17:45,@nicole37,RT So excited to see archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024 ??,en,66,238,4,10,https://harris.com/,Twitter for Android
20,28424,179,08-08-2024 11:31,@qchang,RT Unbelievable performance as athletes lifting heavy in the weightlifting competiton #Olympics2024 #Weightlifting #PowerLifting,en,20,484,15,1,https://rosario.org/,Twitter for iPhone
21,386,118,30-07-2024 03:37,@jessica75,"Einfach unglaublich, wie aufregend es ist, Basketball-Finals zu sehen. #Olympics2024 #Basketball2024 #Hoops",de,0,604,7,5,,Twitter Web Client
22,99451,100,28-07-2024 19:28,@rodriguezsally,Just amazing how marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,0,411,15,8,http://www.allen-anderson.com/,Twitter for Android
23,77030,110,30-07-2024 02:48,@robert69,RT Incredible to see basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,254,280,13,6,,Twitter Web App
24,98472,147,30-07-2024 17:48,@zcampbell,Incredible to see athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,0,562,6,9,,Twitter for iPhone
25,94557,119,10-08-2024 10:36,@tjackson,RT God morning! ,en,87,2,3,2,,Twitter Web App
26,94731,188,30-07-2024 18:09,@crystal59,Amazing performance by #SimoneBiles in the #TeamUSA!,en,0,516,3,3,https://www.gonzalez.net/,Twitter for iPhone
27,17924,129,27-07-2024 14:11,@jessicawatson,So excited to see archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024,en,0,157,13,2,http://www.brown-holmes.org/,Twitter for Android
28,18162,133,06-08-2024 07:03,@darrenhubbard,RT Célébration du duel intense des escrimeurs pour l'or #Olympiques2024 #Escrime #Escrime olympique,fr,75,897,11,2,,Twitter for iPhone
29,19673,136,11-08-2024 03:55,@pvaughn,So excited to see fencers duel intensely for the gold #Olympics2024 #Fencing #OlympicFencing,en,0,411,13,6,,Twitter for iPhone
30,84896,156,04-08-2024 12:50,@dan70,Celebrating as divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,55,13,0,,Twitter for iPhone
31,88546,165,03-08-2024 20:00,@hallcalvin,RT Having lunch at this great place!,en,143,528,14,2,https://www.vincent.info/,Twitter for Android
32,16627,128,10-08-2024 20:28,@zevans,Just amazing how basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,0,744,1,5,https://www.petersen-thomas.com/,Twitter Web App
33,62978,184,31-07-2024 09:58,@tuckerbrooke,Just amazing how swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,0,628,3,6,https://www.jackson.com/,Twitter Web App
34,29889,111,27-07-2024 13:38,@rjackson,Captivating moments as divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,142,1,10,http://www.santiago.com/,Twitter for iPhone
35,92465,177,08-08-2024 15:02,@tinafletcher,"RT Einfach unglaublich, wie intensiv die Fechter um Gold duellieren #Olympics2024 #Fechten #OlympicFencing",de,256,369,12,3,,Twitter Web App
36,82971,179,05-08-2024 11:47,@ioconnor,Celebrating as archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024,en,0,153,10,4,,Twitter Web Client
37,23485,112,07-08-2024 11:52,@amanda41,RT So excited to see marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,77,353,3,2,,Twitter for Android
38,88317,128,06-08-2024 16:03,@jordanprice,RT Just chilling...,en,8,738,7,1,,Twitter for iPhone
39,63971,161,11-08-2024 04:04,@bestleslie,RT Unbelievable performance as athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,270,84,6,6,,Twitter for iPhone
40,97899,125,01-08-2024 11:40,@patrickgonzalez,RT having lunch at this great place!,en,117,938,6,0,http://patton-acosta.info/,Twitter Web App
41,24737,171,09-08-2024 11:35,@munozrachel,RT Mittagessen an diesem tollen Ort!,de,227,878,14,7,,Twitter for Android
42,68143,182,27-07-2024 06:23,@dyermelissa,Captivating moments as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,777,4,3,https://www.peterson-ramos.com/,Twitter Web App
43,75866,131,09-08-2024 19:56,@kshelton,RT Unbelievable performance as basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,33,816,13,3,https://heath.org/,Twitter for Android
44,89145,183,03-08-2024 13:04,@wsmith,Just amazing how gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,835,5,7,,Twitter for iPhone
45,53335,149,09-08-2024 15:14,@herreratimothy,Captivating moments as athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,0,235,8,5,https://williams.com/,Twitter Web Client
46,88063,179,07-08-2024 15:00,@eric87,RT Celebrating as gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,189,825,14,4,https://www.rush.com/,Twitter Web App
47,82743,121,07-08-2024 09:46,@aliciahumphrey,RT Just amazing how swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,101,204,7,3,http://ali-carter.org/,Twitter for iPhone
48,52523,180,10-08-2024 08:58,@drew05,RT Incredible to see the opening ceremony lights up Paris! #Olympics2024 #OpeningCeremony #Paris2024,en,263,661,2,3,,Twitter for iPhone
49,11366,174,01-08-2024 03:22,@teresahunt,Unbelievable performance as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,454,14,0,,Twitter for iPhone
50,19846,177,06-08-2024 22:18,@randywilkinson,Incredible to see marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,0,889,3,10,,Twitter for iPhone
51,32826,199,31-07-2024 13:04,@parsonsjessica,Having lunch at this great place!,en,0,443,1,3,,Twitter Web Client
52,64186,138,26-07-2024 16:32,@heidilawson,RT Incredible to see basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,162,292,0,6,,Twitter for Android
53,54340,200,10-08-2024 13:19,@fjimenez,RT Just amazing how gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,260,576,2,5,http://www.cain-tanner.com/,Twitter for Android
54,70824,118,11-08-2024 14:06,@frank64,RT Having lunch at this great place!,en,198,628,7,4,http://caldwell.com/,Twitter Web App
55,5355,109,31-07-2024 00:28,@ryan33,Incredible to see marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,0,342,5,1,https://keller.com/,Twitter Web App
56,28472,165,29-07-2024 03:27,@wking,WHAT A DAY TO WITNESS DIVERS MAKE A SPLASH WITH PERFECT SCORES #OLYMPICS2024 #DIVING #WATERSPORTS,en,0,611,13,4,https://www.james-navarro.com/,Twitter Web Client
57,84808,127,10-08-2024 15:06,@rogerseugene,RT Exciting event in Track & Field! Who will win the #GoldMedal? #Paris2024 #Olympics,en,197,967,15,5,http://www.crawford-lyons.com/,Twitter Web App
58,91845,140,08-08-2024 09:14,@hshaw,RT So excited to see gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,236,312,15,10,https://martin-bond.biz/,Twitter for Android
59,38034,162,04-08-2024 20:04,@bakerchristopher,RT UNBELIEVABLE PERFORMANCE AS EQUESTRIAN SHOWS ARE ALL ABOUT GRACE AND CONTROL #OLYMPICS2024 #EQUESTRIAN #DRESSAGE2024,en,133,70,6,8,http://www.castro-boyd.net/,Twitter for iPhone
60,72774,198,09-08-2024 20:16,@knunez,Celebrating as athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,0,247,12,6,https://www.bass.info/,Twitter Web Client
61,69695,174,01-08-2024 20:44,@browncharles,RT Incredible to see athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,162,403,1,10,,Twitter Web App
62,64080,111,02-08-2024 05:48,@lancemorse,Celebrating as gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,203,5,8,http://mueller.org/,Twitter for Android
63,69352,200,07-08-2024 15:55,@fmendoza,just amazing how divers make a splash with perfect scores #olympics2024 #diving #watersports,en,0,155,12,5,https://caldwell-wiley.com/,Twitter for iPhone
64,79340,111,09-08-2024 00:24,@sherry80,RT Captivating moments as archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024,en,108,516,0,0,,Twitter for iPhone
65,24623,200,05-08-2024 09:55,@ldean,What a day to witness gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,465,12,1,http://www.gomez.info/,Twitter for iPhone
66,14996,139,02-08-2024 20:35,@edwardturner,Incredible to see archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024,en,0,809,8,4,,Twitter for iPhone
67,29196,150,05-08-2024 07:33,@xthomas,RT What a day to witness the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,107,561,14,2,,Twitter Web App
68,77713,128,10-08-2024 02:45,@paul61,Just chilling...,en,0,35,9,9,,Twitter Web App
69,9440,136,11-08-2024 10:29,@shelbyhatfield,RT Incroyable comment les archers ont touché la cible pendant les qualifications #Olympiques2024 #Tir à l'arc #Précision2024,fr,158,372,13,4,,Twitter for iPhone
70,56183,130,28-07-2024 07:34,@qlewis,RT Incredible to see archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024,en,189,710,15,0,http://www.bauer.com/,Twitter Web App
71,42386,160,29-07-2024 15:30,@juliemiller,Just chilling...,en,0,398,4,1,,Twitter for iPhone
72,32781,100,05-08-2024 17:37,@tammymyers,Guten Morgen zusammen!,de,0,886,6,9,,Twitter for Android
73,24038,180,06-08-2024 21:51,@danasmith,RT Having lunch at this great place!,en,50,314,9,6,http://durham.net/,Twitter for Android
74,23992,149,27-07-2024 02:23,@rberry,RT Incredible to see athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,63,322,6,5,http://moreno.com/,Twitter for iPhone
75,80534,146,09-08-2024 01:32,@odaniel,Unbelievable performence as divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,475,1,5,,Twitter Web App
76,9225,194,27-07-2024 20:15,@lmoore,Captivating moments as the opening ceremony lights up Paris! #Olympics2024 #OpeningCeremony #Paris2024,en,0,833,1,6,,Twitter Web App
77,69621,177,26-07-2024 07:40,@kjenkins,Just amazing how gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,743,10,9,http://www.lewis-ryan.org/,Twitter for Android
78,51266,122,08-08-2024 20:29,@ymiles,Captivating moments as divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,265,1,8,https://smith.com/,Twitter for Android
79,41952,127,30-07-2024 09:43,@whitecindy,So excited to see fencers duel intensely for the gold #Olympics2024 #Fencing #OlympicFencing,en,0,833,1,1,,Twitter for Android
80,17702,194,09-08-2024 05:23,@joshua39,RT What a day to witness gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,10,403,15,6,,Twitter for iPhone
81,50055,146,31-07-2024 14:44,@timothycaldwell,RT Unbelievable performance as fencers duel intensely for the gold #Olympics2024 #Fencing #OlympicFencing,en,26,173,5,9,,Twitter for Android
82,37938,112,01-08-2024 09:16,@kimberlymurray,Just amazing how gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,751,1,3,https://www.jacobson.com/,Twitter for iPhone
83,45832,163,08-08-2024 00:36,@garciaronald,RT Just amazing how the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,243,596,2,4,https://steele.com/,Twitter for iPhone
84,48511,105,03-08-2024 19:54,@bailey27,Good morning everyone!,en,0,977,5,0,https://www.bowman.org/,Twitter for iPhone
85,73360,151,05-08-2024 19:12,@hmaxwell,RT Having lunch at this great place!,en,216,139,2,6,https://black.com/,Twitter for iPhone
86,14688,199,05-08-2024 20:19,@rmorales,RT Captivating moments as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,81,896,2,0,,Twitter for Android
87,4330,134,08-08-2024 05:29,@qdavis,RT So excited to see swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,136,940,7,8,http://rodgers-murray.org/,Twitter for Android
88,37664,141,30-07-2024 17:34,@smckay,Celebrating as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,915,12,8,http://bryant.org/,Twitter Web App
89,17393,126,09-08-2024 11:36,@andrea85,RT Captivating moments as the opening ceremony lights up Paris! #Olympics2024 #OpeningCeremony #Paris2024,en,279,621,3,10,https://hernandez-marquez.com/,Twitter for Android
90,54061,139,05-08-2024 04:25,@stricklandjonathan,RT Just amazing how equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024,en,57,782,7,10,,Twitter for iPhone
91,81253,152,08-08-2024 14:00,@bradpittman,having lunch at this great place!,en,0,244,1,3,,Twitter for Android
92,37322,133,10-08-2024 14:55,@michael23,JUST AMAZING HOW ATHLETES LIFTING HEAVY IN THE WEIGHTLIFTING COMPETITION #OLYMPICS2024 #WEIGHTLIFTING #POWERLIFTING,en,0,773,2,5,,Twitter Web App
93,17947,122,06-08-2024 15:12,@whitneydennis,Having lunch at this great place!,en,0,425,13,6,https://jacobs-carrillo.net/,Twitter Web App
94,85096,131,03-08-2024 23:15,@colleenjimenez,Just chilling...,en,0,305,10,1,,Twitter for Android
95,40574,154,03-08-2024 02:42,@gonzalezjeremiah,RT Captivating moments as fencers duel intensely for the gold #Olympics2024 #Fencing #OlympicFencing,en,102,741,8,10,http://gutierrez.com/,Twitter Web App
96,66288,158,05-08-2024 02:39,@stephanie81,Just witnessed an amazing Basketball! The crowd went wild! #Olympics #Paris2024,en,0,179,6,5,http://www.english.org/,Twitter Web App
97,66879,192,30-07-2024 15:48,@hbecker,Just amazing how divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,713,10,9,,Twitter Web App
98,55110,118,05-08-2024 05:54,@hurstmichael,RT Incredible to see basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,257,928,7,5,,Twitter for Android
99,1543,132,26-07-2024 17:33,@thomasdavies,Just amazing how the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,921,8,10,http://www.munoz.org/,Twitter for iPhone
100,65691,162,07-08-2024 05:42,@jameslara,What a day to witness the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,974,12,1,http://www.miller.com/,Twitter for iPhone
101,96540,164,11-08-2024 14:40,@glennbrandi,RT Having lunch at this great place!,en,196,446,4,4,,Twitter for Android
102,21291,104,07-08-2024 07:35,@trevorrichards,RT What a day to witness the opening ceremony lights up Paris! #Olympics2024 #OpeningCeremony #Paris2024,en,130,505,9,8,http://www.robinson.org/,Twitter Web App
103,67779,129,03-08-2024 23:00,@qhernandez,Celebrating as swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,0,530,14,4,,Twitter Web App
104,37525,188,03-08-2024 05:43,@sbrown,Incredible to see divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,256,10,10,,Twitter for Android
105,93917,184,26-07-2024 05:37,@ronaldmcdonald,RT Just chilling...,en,68,700,2,6,http://johnson.com/,Twitter for iPhone
106,14795,177,27-07-2024 00:44,@pamelaalvarez,RT Just witnessed an amazing Basketball! The crowd went wild! #Olympics #Paris2024,en,279,698,0,5,,Twitter Web App
107,51362,101,31-07-2024 12:48,@matthew43,Celebrating as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,588,14,6,https://reeves.com/,Twitter Web App
108,39366,180,11-08-2024 01:30,@jennifer21,Having lunch at this great place!,en,0,582,3,4,,Twitter Web App
109,64360,101,29-07-2024 12:45,@hhunt,RT What a day to witness fencers duel intensely for the gold #Olympics2024 #Fencing #OlympicFencing,en,271,819,2,8,,Twitter Web App
110,15819,133,08-08-2024 21:13,@whill,CAPTIVATING MOMENTS AS THE OPENING CEREMONY LIGHTS UP PARIS! #OLYMPICS2024 #OPENINGCEREMONY #PARIS2024,en,0,409,6,2,,Twitter for iPhone
111,86002,175,04-08-2024 10:32,@matthew62,RT So excited to see athletes lifting heavy in the weightlifting competition #Olympics2024 #Weightlifting #PowerLifting,en,208,192,8,3,,Twitter for iPhone
112,11262,141,08-08-2024 03:38,@tylervargas,Celebrating as gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,305,4,6,,Twitter for Android
113,87884,146,10-08-2024 14:56,@parkerjeremiah,Just amazing how archers hit the mark during qualifiers #Olympics2024 #Archery #Precision2024,en,0,100,11,10,,Twitter for Android
114,26919,174,02-08-2024 20:16,@higginswilliam,Just chilling...,en,0,852,2,6,,Twitter for Android
115,97774,154,10-08-2024 11:27,@pmccann,RT Good morning everyone!,en,83,462,7,10,http://myers.com/,Twitter for iPhone
116,96712,131,27-07-2024 03:29,@ybryan,RT JUST AMAZIN' HOW THE OPENING CEREMONY LIGHTS UP PARIS! #OLYMPICS2024 #OPENINGCEREMONY #PARIS2024,en,222,860,11,2,,Twitter Web App
117,59267,141,01-08-2024 02:32,@lgregory,RT Unbelievable performance as swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,25,432,9,9,https://phillips-daniels.com/,Twitter for Android
118,68542,144,01-08-2024 20:03,@claytammy,What a day to witness equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024,en,0,585,5,9,https://ramirez.com/,Twitter for Android
119,83878,113,28-07-2024 07:54,@kirkscott,RT Good morning everyone!,en,207,713,14,4,http://www.rios.com/,Twitter for Android
120,40380,171,06-08-2024 00:07,@fallen,RT Just amazing how swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,212,453,9,6,,Twitter for Android
121,85610,126,29-07-2024 12:43,@pamelapruitt,RT Just amazing how athletes lifting heavy in the weightlifting competiton #Olympics2024 #Weightlifting #PowerLifting,en,256,479,0,8,https://www.castro.info/,Twitter Web App
122,62327,191,10-08-2024 01:51,@ojohnson,Good morning everyone!,en,0,726,9,0,http://www.downs-martin.com/,Twitter for Android
123,54940,127,06-08-2024 06:48,@jwilliams,RT Captivating moments as equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024??,en,159,11,3,4,https://www.thornton.com/,Twitter for iPhone
124,35542,172,10-08-2024 07:57,@andersonsophia,RT What a day to witness equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024,en,201,238,4,4,http://www.potter.com/,Twitter for Android
125,12392,163,04-08-2024 03:55,@lindajenkins,RT Just amazin' how divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,117,164,8,3,https://salazar-white.com/,Twitter for Android
126,40030,138,08-08-2024 10:06,@lanechristine,Good morning everyone!,en,0,309,3,6,https://www.collins.com/,Twitter for Android
127,52682,192,11-08-2024 22:50,@haleyelizabeth,RT WHAT A DAY TO WITNESS BASKETBALL FINALS ARE A THRILL TO WATCH #OLYMPICS2024 #BASKETBALL2024 #HOOPS,en,100,236,3,9,,Twitter for iPhone
128,88281,169,29-07-2024 04:45,@ncain,"Unglaublich zu sehen, dass Basketball-Finale ein Nervenkitzel zu sehen sind #Olympics2024 #Basketball2024 #Hoops",de,0,868,4,9,http://www.tanner.org/,Twitter for iPhone
129,3787,114,04-08-2024 23:53,@anna28,Good morning everyone!,en,0,195,8,10,https://henry.com/,Twitter for iPhone
130,76106,181,04-08-2024 02:40,@hholloway,RT Captivating moments as equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024,en,136,282,9,5,,Twitter Web App
131,70531,190,08-08-2024 17:19,@aguilarstephen,what a day to witness the opening ceremony lights up paris! #olympics2024 #openingceremony #paris2024,en,0,553,6,7,http://www.jackson.com/,Twitter Web App
132,466,119,29-07-2024 03:06,@pattersonpaul,RT Just amazin' how athletes lifting heavy in the weightlifting competiton #Olympics2024 #Weightlifting #PowerLifting,en,151,380,10,7,https://jackson.com/,Twitter for Android
133,83122,106,26-07-2024 15:49,@murphytimothy,RT Just chilling...,en,168,316,6,7,http://www.garrison.com/,Twitter for Android
134,33238,180,03-08-2024 02:40,@stanleymccarty,What a day to witness the opening ceremony lights up Paris! #Olympics2024 #OpeningCeremony #Paris2024,en,0,488,8,10,,Twitter for Android
135,40785,163,09-08-2024 18:43,@mpatrick,RT Captivating moments as gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,143,300,15,3,,Twitter Web Client
136,81276,197,01-08-2024 01:42,@garciadiana,RT What a day to witness basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,133,114,8,8,https://www.harding.com/,Twitter Web App
137,44677,105,10-08-2024 01:35,@josemurray,Incredible to see divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,493,1,7,,Twitter for iPhone
138,11276,150,11-08-2024 07:03,@mendozakristen,RT Unbelievable performance as equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024,en,275,353,2,2,,Twitter Web Client
139,21928,165,31-07-2024 16:14,@rmiller,RT Just chilling...,en,161,621,13,10,http://www.lee-adams.com/,Twitter Web App
140,46787,186,05-08-2024 18:18,@lauren71,Good morning everyone!,en,0,400,8,1,https://cooper.com/,Twitter for iPhone
141,15574,181,04-08-2024 05:46,@cgreene,Incredible to see gymnasts perform spectacular routines #Olympics2024 #Gymnastics #Artistic,en,0,251,1,4,,Twitter for Android
142,35998,152,02-08-2024 03:50,@justin60,Just amazing how swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,0,647,0,8,http://holden.biz/,Twitter Web App
143,15404,158,30-07-2024 21:40,@ksmith,What a day to witness marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,0,784,10,10,,Twitter Web Client
144,47879,113,27-07-2024 12:59,@xthompson,RT unbelievable performance as archers hit the mark during qualifiers #olympics2024 #archery #precision2024,en,186,468,4,10,,Twitter for iPhone
145,73732,162,11-08-2024 01:54,@santoskaren,RT Captivating moments as swimmers set new records in 100m Freestyle #Olympics2024 #Swimming #Olympics2024,en,263,762,8,9,,Twitter Web App
146,66892,199,02-08-2024 08:30,@ian24,So excited to see divers make a splash with perfect scores #Olympics2024 #Diving #WaterSports,en,0,253,5,5,https://thompson.org/,Twitter for iPhone
147,92523,172,27-07-2024 04:44,@natalie48,RT Just chilling...,en,105,905,14,1,http://www.smith-hendricks.com/,Twitter for iPhone
148,39528,182,02-08-2024 01:46,@olowe,RT Good morning everyone!,en,178,354,13,3,https://www.ward.com/,Twitter Web App
149,70989,120,09-08-2024 12:16,@johnsonkristina,CELEBRATING AS ARCHERS HIT THE MARK DURING QUALIFIERS #OLYMPICS2024 #ARCHERY #PRECISION2024,en,0,121,0,10,http://herring.org/,Twitter for iPhone
150,12549,184,05-08-2024 01:10,@bautistarebecca,So excited to see the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,956,3,4,,Twitter Web Client
